RecordType;Schema;Name;Type;Id;LoC;References;Dependencies;Abstraction;Instability
1;TKMTS;OD_STOCK_REVIEW_TRC;TRIGGER;29313146;82;0;0;0.012195121951219513;0
1;TKMTS;TR_BI_ESB_COMMMESSAGE_CHECKSUM;TRIGGER;29969156;24;0;0;0.041666666666666664;0
1;TKMTS;ESB_COMMMESSAGE_PART_TRC;TRIGGER;29969157;69;0;0;0.014492753623188406;0
1;TKMTS;TR_BIU_GUESTCOMPLAINT_BOITEM;TRIGGER;29068713;58;0;0;0.017241379310344827;0
1;TKMTS;CO_RELEASEQTY_TRC;TRIGGER;30316463;71;0;0;0.014084507042253521;0
1;TKMTS;CO_CLIENTVISSTATUSHIS_TRC;TRIGGER;30316478;71;0;0;0.014084507042253521;0
1;TKMTS;CO_CONTRACTSTATUSHIS_TRC;TRIGGER;30316492;71;0;0;0.014084507042253521;0
1;TKMTS;MAB_LOBS;PROCEDURE;30209296;38;0;0;0.02631578947368421;0
1;TKMTS;VW_STATEMENT_SERVICECODES;VIEW;29084233;0;0;0;0;0
1;TKMTS;CO_RELEASELINE_POINTLOLIST_TRC;TRIGGER;29084241;76;0;0;0.013157894736842105;0
1;TKMTS;CO_STAYCOND_POINTLOLIST_TRC;TRIGGER;29084247;76;0;0;0.013157894736842105;0
1;TKMTS;OD_TRAVELAGENCYCLIENT_TRC;TRIGGER;29084252;76;0;0;0.013157894736842105;0
1;TKMTS;TR_BIU_OD_PROVS_CODE_CK;TRIGGER;30408818;69;0;0;0.014492753623188406;0
1;TKMTS;TR_CO_RATEPLAN_TRC;TRIGGER;30253977;76;0;0;0.013157894736842105;0
1;TKMTS;TR_CO_RATEPLANSOURCEMARKET_TRC;TRIGGER;30253982;76;0;0;0.013157894736842105;0
1;TKMTS;TR_CO_RATEPLANCLIENT_TRC;TRIGGER;30253987;76;0;0;0.013157894736842105;0
1;TKMTS;VW_CONTRACTUNITS_ALLOWED_YIELD;VIEW;29119112;0;0;0;0;0
1;TKMTS;PAC_ZONE;PACKAGE;29350849;4736;14;0;0.00021114864864864866;0.0
1;TKMTS;PAC_ZONE;PACKAGE BODY;29350850;4736;0;9;0.00021114864864864866;1.0
1;TKMTS;PAC_DYNAMIC_QUERY_AVAILABILITY;PACKAGE;29350942;2776;1;0;0.00036023054755043225;0.0
1;TKMTS;PAC_DYNAMIC_QUERY_AVAILABILITY;PACKAGE BODY;29350943;2776;0;2;0.00036023054755043225;1.0
1;TKMTS;YD_EDITIONSTATUSHIS_TRC;TRIGGER;29350947;84;0;0;0.011904761904761904;0
1;TKMTS;TR_AUI_YD_EDITIONSTATUSHIS;TRIGGER;29350948;46;0;0;0.021739130434782608;0
1;TKMTS;PAC_TRANSFORMER_CONTRACT_UTILS;PACKAGE;29350954;2050;2;0;0.0004878048780487805;0.0
1;TKMTS;PAC_TRANSFORMER_CONTRACT_UTILS;PACKAGE BODY;29350955;2050;0;3;0.0004878048780487805;1.0
1;TKMTS;OD_STOCK_ZONE_SETUP_PICKUP_TRC;TRIGGER;29350988;76;0;0;0.013157894736842105;0
1;TKMTS;PAC_DYNAMIC_QUERY_BOOKING_EXT;PACKAGE BODY;29123176;5059;0;2;0.000197667523225934;1.0
1;TKMTS;PAC_DYNAMIC_QUERY_BOOKING_EXT;PACKAGE;29123175;5059;1;0;0.000197667523225934;0.0
1;TKMTS;TR_BU_CO_CONTRACTUNIT_OLDSBS;TRIGGER;29988071;58;0;1;0.017241379310344827;1.0
1;TKMTS;TR_AIU_ESB_PUB_CO_EVENTHIS;TRIGGER;29135690;34;0;0;0.029411764705882353;0
1;TKMTS;MVW_STATEMENT_HOTELS;MATERIALIZED VIEW;30097148;0;0;4;0;1.0
1;TKMTS;TR_GRP_HISTORY_TRC;TRIGGER;30314522;68;0;0;0.014705882352941176;0
1;TKMTS;TR_GRP_HISTORYLOG_TRC;TRIGGER;30314628;68;0;0;0.014705882352941176;0
